"series","date","return"
"USD/TRY",2021-10-13,-0.00514503249280329
"USD/TRY",2021-10-14,-0.010342124215418
"USD/TRY",2021-10-15,-0.00832492448131283
"USD/TRY",2021-10-18,-0.00787019915674714
"USD/TRY",2021-10-19,0.00354522679369307
"USD/TRY",2021-10-20,0.00886415628017234
"USD/TRY",2021-10-21,-0.0315498414355639
"USD/TRY",2021-10-22,-0.0074106635037352
"USD/TRY",2021-10-25,-0.000563768494010297
"USD/TRY",2021-10-26,0.0049804964157758
"USD/TRY",2021-10-27,0.00574363574314285
"USD/TRY",2021-10-28,-0.00497762155016446
"USD/TRY",2021-10-29,-0.00802965232645203
"USD/TRY",2021-11-01,0.00736853690625416
"USD/TRY",2021-11-02,-0.0064725821857925
"USD/TRY",2021-11-03,-0.00359978332277278
"USD/TRY",2021-11-04,-0.00649047085346854
"USD/TRY",2021-11-05,0.00181763777851529
"USD/TRY",2021-11-08,-0.000516710426311295
"USD/TRY",2021-11-09,-0.00475153308632947
"USD/TRY",2021-11-10,-0.0115218188081312
"USD/TRY",2021-11-11,-0.00527176070617186
"USD/TRY",2021-11-12,-0.00857795342828904
"USD/TRY",2021-11-15,-0.00753039672298073
"USD/TRY",2021-11-16,-0.0283491275003653
"USD/TRY",2021-11-17,-0.0258537154265404
"USD/TRY",2021-11-18,-0.0354789616136579
"USD/TRY",2021-11-19,-0.0213736229290218
"USD/TRY",2021-11-22,-0.0130917393939725
"USD/TRY",2021-11-23,-0.119174495674436
"USD/TRY",2021-11-24,0.0589376601460843
"USD/TRY",2021-11-25,0.0152243189961552
"USD/TRY",2021-11-26,-0.0427594757066276
"USD/TRY",2021-11-29,-0.0300989207408726
"USD/TRY",2021-11-30,-0.0510620628127865
"USD/TRY",2021-12-01,0.0156866255042285
"USD/TRY",2021-12-02,-0.026119499586998
"USD/TRY",2021-12-03,-0.00626043158395495
"USD/TRY",2021-12-06,-0.00630127309635142
"USD/TRY",2021-12-07,0.0215631304197696
"USD/TRY",2021-12-08,-0.0132159703026287
"USD/TRY",2021-12-09,-0.00799167936195477
"USD/TRY",2021-12-10,-0.00691999247212705
"USD/TRY",2021-12-13,0.00593366320479882
"USD/TRY",2021-12-14,-0.0418997518057989
"USD/TRY",2021-12-15,-0.0275545230561338
"USD/TRY",2021-12-16,-0.0577998911525976
"USD/TRY",2021-12-17,-0.0465220464855451
"USD/TRY",2021-12-20,0.195044179698069
"USD/TRY",2021-12-21,0.0826977161950486
"USD/TRY",2021-12-22,0.0369150189978811
"USD/TRY",2021-12-23,0.0777461604446241
"USD/TRY",2021-12-24,0.0403290105142147
"USD/TRY",2021-12-27,-0.0925144579144552
"USD/TRY",2021-12-28,-0.0100265344041635
"USD/TRY",2021-12-29,-0.0686288956002916
"USD/TRY",2021-12-30,-0.0244070902229478
"USD/TRY",2021-12-31,-0.0280247702126033
"USD/TRY",2022-01-03,0.0150037429185121
"USD/TRY",2022-01-04,-0.0162570781170457
"USD/TRY",2022-01-05,-0.0232998802011157
"USD/TRY",2022-01-06,-0.0126693651152645
"USD/TRY",2022-01-07,-0.00360391981896724
"USD/TRY",2022-01-10,0.00459564945487667
"USD/TRY",2022-01-11,0.000739007300537775
"USD/TRY",2022-01-12,0.0456816876463946
"USD/TRY",2022-01-13,-0.0283550462866731
"USD/TRY",2022-01-14,0.00286541611630264
"USD/TRY",2022-01-17,0.00729651217253924
"USD/TRY",2022-01-18,-0.00795451150870763
"USD/TRY",2022-01-19,0.0115742290930783
"USD/TRY",2022-01-20,0.00161630709097738
"USD/TRY",2022-01-21,-0.00587650610093959
"USD/TRY",2022-01-24,-0.00102689277251233
"USD/TRY",2022-01-25,-0.00233263113524229
"USD/TRY",2022-01-26,-0.00585952181439309
"USD/TRY",2022-01-27,-0.0066830867310621
"USD/TRY",2022-01-28,0.00708151074801977
"USD/TRY",2022-01-31,0.0181179350308747
"USD/TRY",2022-02-01,-0.00466320146297283
"USD/TRY",2022-02-02,-0.00618148944138275
"USD/TRY",2022-02-03,-0.00758314319044739
